1.4517 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
95.3585 	EXP 	New trial (rep=32, index=0): None
95.3615 	DATA 	Keypress: down
95.3675 	EXP 	Fixation: autoDraw = False
95.3675 	EXP 	grating: autoDraw = False
95.3675 	EXP 	grating: ori = 0.0
95.3675 	EXP 	Fixation: autoDraw = True
96.3665 	EXP 	Fixation: autoDraw = False
96.3665 	EXP 	grating: autoDraw = True
96.6662 	EXP 	grating: autoDraw = False
97.2022 	EXP 	New trial (rep=33, index=0): None
97.2037 	DATA 	Keypress: up
97.2154 	EXP 	Fixation: autoDraw = False
97.2154 	EXP 	grating: autoDraw = False
97.2154 	EXP 	grating: ori = 0.0
97.2154 	EXP 	Fixation: autoDraw = True
98.2147 	EXP 	Fixation: autoDraw = False
98.2147 	EXP 	grating: autoDraw = True
98.5143 	EXP 	grating: autoDraw = False
100.3505 	EXP 	New trial (rep=34, index=0): None
100.3525 	DATA 	Keypress: up
100.3625 	EXP 	Fixation: autoDraw = False
100.3625 	EXP 	grating: autoDraw = False
100.3625 	EXP 	grating: ori = -4.0
100.3625 	EXP 	Fixation: autoDraw = True
101.3616 	EXP 	grating: autoDraw = True
101.3781 	EXP 	Fixation: autoDraw = False
101.6611 	EXP 	grating: autoDraw = False
102.1825 	EXP 	New trial (rep=35, index=0): None
102.1844 	DATA 	Keypress: down
102.1941 	EXP 	Fixation: autoDraw = False
102.1941 	EXP 	grating: autoDraw = False
102.1941 	EXP 	grating: ori = -3.0
102.1941 	EXP 	Fixation: autoDraw = True
103.1932 	EXP 	grating: autoDraw = True
103.2097 	EXP 	Fixation: autoDraw = False
103.4926 	EXP 	grating: autoDraw = False
104.1276 	DATA 	Keypress: down
104.1456 	EXP 	New trial (rep=36, index=0): None
104.1587 	EXP 	Fixation: autoDraw = False
104.1587 	EXP 	grating: autoDraw = False
